,0
286,7.8346827
287,7.8651757
288,7.8928203
289,7.9174982
290,7.9391036
291,7.9575441
292,7.9727407
293,7.9846282
294,7.9931559
295,7.9982871
296,8.0
297,7.9982871
298,7.9931559
299,7.9846282
300,7.9727407
301,7.9575441
302,7.9391036
303,7.9174982
304,7.8928203
305,7.8651757
306,7.8346827
307,7.8014718
308,7.7656854
309,7.7274767
310,7.6870091
311,7.6444562
312,7.6
313,7.553831
314,7.5061467
315,7.4571516
316,7.4070552
317,7.3560723
318,7.304421
319,7.2523225
320,7.2
321,7.1476775
322,7.095579
323,7.0439277
324,6.9929448
325,6.9428484
326,6.8938533
327,6.846169
328,6.8
329,6.7555438
330,6.7129909
331,6.6725233
332,6.6343146
333,6.5985282
334,6.5653173
335,6.5348243
336,6.5071797
337,6.4825018
338,6.4608964
339,6.4424559
340,6.4272593
341,6.4153718
342,6.4068441
343,6.4017129
344,6.4
345,6.4017129
346,6.4068441
347,6.4153718
348,6.4272593
349,6.4424559
350,6.4608964
351,6.4825018
352,6.5071797
353,6.5348243
354,6.5653173
355,6.5985282
356,6.6343146
357,6.6725233
358,6.7129909
359,6.7555438
360,6.8
361,6.846169
362,6.8938533
363,6.9428484
364,6.9929448
365,7.0439277
366,7.095579
367,7.1476775
368,7.2
369,7.2523225
370,7.304421
371,7.3560723
372,7.4070552
373,7.4571516
374,7.5061467
375,7.553831
376,7.6
377,7.6444562
378,7.6870091
379,7.7274767
380,7.7656854
381,7.8014718
382,7.8346827
383,7.8651757
